s	CaffeineConsumption
HG00096	4
HG00099	4
HG00105	4
HG00118	3
HG00129	6
HG00148	2
HG00254	2
HG00271	5
HG00332	5
HG00335	4
HG00421	6
HG00452	5
HG00472	7
HG00534	5
HG00583	7
HG00598	1
HG00619	5
HG00623	5
HG00657	4
HG00663	4
HG00704	5
HG00705	5
HG00733	5
HG00881	6
HG01052	4
HG01070	4
HG01075	6
HG01164	3
HG01174	3
HG01241	5
HG01248	4
HG01256	4
HG01275	5
HG01284	5
HG01334	4
HG01348	6
HG01396	5
HG01443	4
HG01491	4
HG01498	5
HG01537	6
HG01572	3
HG01606	7
HG01623	5
HG01630	5
HG01783	6
HG01784	3
HG01790	2
HG01799	5
HG01801	5
HG01806	4
HG01812	6
HG01813	5
HG01817	6
HG01848	4
HG01849	6
HG01857	7
HG01863	6
HG01874	7
HG01915	3
HG01924	5
HG01965	6
HG01970	5
HG01991	6
HG02010	4
HG02020	5
HG02054	4
HG02086	4
HG02087	5
HG02116	8
HG02122	3
HG02130	4
HG02152	4
HG02154	7
HG02165	5
HG02232	2
HG02236	6
HG02250	7
HG02259	6
HG02298	5
HG02345	3
HG02351	4
HG02363	5
HG02373	5
HG02383	5
HG02384	5
HG02386	6
HG02388	4
HG02389	5
HG02397	7
HG02419	2
HG02462	3
HG02464	3
HG02497	2
HG02521	6
HG02561	4
HG02574	2
HG02580	6
HG02595	5
HG02603	3
HG02629	4
HG02651	7
HG02682	6
HG02688	7
HG02690	6
HG02699	3
HG02760	4
HG02768	2
HG02771	2
HG02792	5
HG02798	6
HG02811	7
HG02814	8
HG02840	6
HG02870	2
HG02881	3
HG02970	2
HG02973	0
HG03009	5
HG03046	7
HG03074	5
HG03091	1
HG03105	4
HG03127	3
HG03193	2
HG03224	4
HG03237	6
HG03241	5
HG03247	4
HG03259	4
HG03267	1
HG03354	5
HG03366	5
HG03367	3
HG03380	1
HG03419	1
HG03451	3
HG03458	2
HG03490	4
HG03491	2
HG03511	1
HG03556	3
HG03563	3
HG03598	4
HG03603	4
HG03607	5
HG03636	6
HG03684	5
HG03686	4
HG03690	5
HG03731	0
HG03740	4
HG03755	5
HG03800	4
HG03815	3
HG03832	3
HG03850	4
HG03873	4
HG03897	3
HG03905	5
HG03937	6
HG03948	5
HG03973	3
HG04059	4
HG04063	4
HG04096	6
HG04099	3
HG04140	5
HG04171	5
HG04209	4
HG04210	5
HG04229	3
HG04239	5
NA07347	4
NA11918	6
NA11919	5
NA12045	7
NA12273	5
NA12342	6
NA12414	6
NA12546	4
NA12760	4
NA12878	5
NA18516	3
NA18525	5
NA18557	4
NA18565	3
NA18616	8
NA18623	4
NA18631	6
NA18740	8
NA18865	3
NA18873	4
NA18916	2
NA18960	5
NA18966	6
NA18975	6
NA18976	4
NA18978	3
NA18990	5
NA19060	7
NA19063	4
NA19086	5
NA19087	5
NA19096	6
NA19113	3
NA19118	2
NA19209	4
NA19314	5
NA19317	6
NA19379	7
NA19384	2
NA19390	4
NA19397	2
NA19399	1
NA19404	5
NA19446	3
NA19655	4
NA19657	9
NA19670	6
NA19678	4
NA19679	3
NA19701	4
NA19720	4
NA19756	6
NA19764	7
NA20318	6
NA20351	3
NA20517	4
NA20518	3
NA20529	6
NA20587	6
NA20757	3
NA20798	4
NA20799	4
NA20810	4
NA20826	6
NA20858	7
NA20864	4
NA20869	5
NA20877	4
NA20888	5
NA20910	5
NA21101	6
NA21113	4
NA21114	6
NA21116	4
NA21118	6
NA21133	5
NA21143	5
